NOMENCLATURE;TYPMEN;CONSO
02;2;687
021;2;239
0211;2;60
02111;2;60
0212;2;139
0212A;2;139
0213;2;40
02131;2;40
022;2;443
022Z;2;443
022ZZ;2;443
024;2;4
0241;2;4
02411;2;4
03;2;1481
031;2;1083
0311;2;2
03111;2;2
0312;2;1035
0312Z;2;1035
0313;2;37
03131;2;37
0314;2;8
03141;2;8
032;2;314
032Z;2;314
032ZZ;2;314
033;2;84
0331;2;84
0331Z;2;84
04;2;4717
041;2;2341
0411;2;2311
04111;2;2311
0412;2;30
04121;2;30
043;2;231
0431;2;231
0431Z;2;231
044;2;973
0443;2;229
04431;2;229
0444;2;743
04441;2;743
045;2;1148
0450;2;151
04500;2;151
0451;2;635
04511;2;635
0452;2;253
0452Z;2;253
0453;2;70
0453Z;2;70
045A;2;39
045AZ;2;39
046;2;23
0461;2;23
04611;2;23
05;2;1058
051;2;298
0511;2;291
0511Z;2;291
051A;2;7
051AZ;2;7
052;2;63
0521;2;63
0521Z;2;63
053;2;146
0531;2;127
0531Z;2;127
0532;2;19
05321;2;19
054;2;55
0541;2;55
0541Z;2;55
055;2;90
0551;2;24
0551Z;2;24
0552;2;66
0552Z;2;66
056;2;378
0561;2;199
0561Z;2;199
0562;2;179
0562Z;2;179
057;2;26
0571;2;26
0571Z;2;26
06;2;446
061;2;222
0611;2;222
0611Z;2;222
062;2;198
0621;2;98
06211;2;98
0622;2;47
06221;2;47
0623;2;53
0623Z;2;53
063;2;22
0631;2;22
06311;2;22
064;2;5
0641;2;5
0641Z;2;5
07;2;3591
071;2;1545
0711;2;1480
0711Z;2;1480
0712;2;45
07121;2;45
0713;2;20
07131;2;20
072;2;1255
0721;2;65
07211;2;65
0722;2;849
07221;2;849
0723;2;225
07231;2;225
0724;2;116
0724Z;2;116
073;2;542
0736;2;12
07361;2;12
073Z;2;530
073ZZ;2;530
074;2;249
0741;2;249
0741Z;2;249
08;2;783
081;2;783
0811;2;11
08111;2;11
0812;2;106
08121;2;106
0813;2;666
08131;2;666
09;2;2008
091;2;183
0911;2;64
0911Z;2;64
0913;2;72
09131;2;72
0914;2;41
09141;2;41
091A;2;5
091AZ;2;5
092;2;38
092Z;2;38
092ZZ;2;38
093;2;413
0931;2;203
0931Z;2;203
0932;2;75
09321;2;75
093A;2;135
