NOMENCLATURE;STRATE;CONSO
0131;1;157
0131Z;1;157
02;1;763
021;1;380
0211;1;102
02111;1;102
0212;1;211
0212A;1;211
0213;1;67
02131;1;67
022;1;380
022Z;1;380
022ZZ;1;380
024;1;3
0241;1;3
02411;1;3
03;1;1311
031;1;912
0311;1;4
03111;1;4
0312;1;859
0312Z;1;859
0313;1;42
03131;1;42
0314;1;7
03141;1;7
032;1;289
032Z;1;289
032ZZ;1;289
033;1;110
0331;1;110
0331Z;1;110
04;1;3870
041;1;1523
0411;1;1479
04111;1;1479
0412;1;44
04121;1;44
043;1;201
0431;1;201
0431Z;1;201
044;1;542
0443;1;334
04431;1;334
0444;1;209
04441;1;209
045;1;1543
0450;1;158
04500;1;158
0451;1;878
04511;1;878
0452;1;267
0452Z;1;267
0453;1;163
0453Z;1;163
045A;1;76
045AZ;1;76
046;1;61
0461;1;61
04611;1;61
05;1;1647
051;1;476
0511;1;456
0511Z;1;456
051A;1;20
051AZ;1;20
052;1;84
0521;1;84
0521Z;1;84
053;1;226
0531;1;194
0531Z;1;194
0532;1;32
05321;1;32
054;1;95
0541;1;95
0541Z;1;95
055;1;225
0551;1;82
0551Z;1;82
0552;1;143
0552Z;1;143
056;1;486
0561;1;228
0561Z;1;228
0562;1;257
0562Z;1;257
057;1;56
0571;1;56
0571Z;1;56
06;1;477
061;1;233
0611;1;233
0611Z;1;233
062;1;215
0621;1;113
06211;1;113
0622;1;53
06221;1;53
0623;1;49
0623Z;1;49
063;1;26
0631;1;26
06311;1;26
064;1;3
0641;1;3
0641Z;1;3
07;1;4663
071;1;2208
0711;1;2109
0711Z;1;2109
0712;1;54
07121;1;54
0713;1;45
07131;1;45
072;1;1834
0721;1;136
07211;1;136
0722;1;1264
07221;1;1264
0723;1;311
07231;1;311
0724;1;124
0724Z;1;124
073;1;322
0736;1;13
07361;1;13
073Z;1;309
073ZZ;1;309
074;1;300
0741;1;300
0741Z;1;300
08;1;735
081;1;735
0811;1;21
08111;1;21
0812;1;77
08121;1;77
0813;1;637
08131;1;637
09;1;2484
091;1;251
0911;1;91
0911Z;1;91
0913;1;82
09131;1;82
0914;1;46
09141;1;46
091A;1;32
091AZ;1;32
092;1;43
092Z;1;43
092ZZ;1;43
093;1;542
0931;1;175
0931Z;1;175
0932;1;175
09321;1;175
093A;1;193
093AZ;1;193
094;1;737
0941;1;270
09411;1;270
0942;1;431
0942Z;1;431
0943;1;36
09431;1;36
095;1;332
0951;1;98
09511;1;98
0952;1;129
09521;1;129
0953;1;14
09531;1;14
0954;1;92
09541;1;92
096;1;350
0961;1;350
09611;1;350
097;1;229
