NOMENCLATURE2;STATUT;COEFF_BUDG
12;L5;11.3
121;L5;2.3
123;L5;0.8
124;L5;1.1
125;L5;5.3
126;L5;0.4
127;L5;1.4
128;L5;0.1
129;L5;0.1
CTOTALE;L5;100.0
01;P;17.3
011;P;15.4
012;P;1.3
013;P;0.7
02;P;2.7
021;P;1.6
022;P;1.1
024;P;0.0
03;P;4.9
031;P;3.3
032;P;1.0
033;P;0.5
04;P;9.5
041;P;0.3
043;P;0.9
044;P;2.5
045;P;5.5
046;P;0.3
05;P;6.8
051;P;1.8
052;P;0.4
053;P;0.8
054;P;0.3
055;P;1.0
056;P;2.3
057;P;0.2
06;P;2.0
061;P;1.0
062;P;0.8
063;P;0.1
064;P;0.0
07;P;18.0
071;P;8.3
072;P;6.6
073;P;1.7
074;P;1.4
08;P;2.6
081;P;2.6
09;P;10.1
091;P;0.9
092;P;0.4
093;P;1.9
094;P;3.1
095;P;1.3
096;P;1.7
097;P;0.9
10;P;0.8
101;P;0.8
11;P;7.5
111;P;6.2
112;P;1.4
12;P;17.8
121;P;2.9
123;P;0.7
124;P;1.2
125;P;9.5
126;P;0.5
127;P;2.8
128;P;0.1
129;P;0.1
CTOTALE;P;100.0
01;P1;19.9
011;P1;17.8
012;P1;1.5
013;P1;0.6
02;P1;3.4
021;P1;1.4
022;P1;2.0
024;P1;0.0
03;P1;4.8
031;P1;3.4
032;P1;1.0
033;P1;0.4
04;P1;11.3
041;P1;0.2
043;P1;0.5
044;P1;3.1
045;P1;7.4
046;P1;0.2
05;P1;5.0
051;P1;1.3
052;P1;0.2
053;P1;0.7
054;P1;0.2
055;P1;0.7
056;P1;1.7
057;P1;0.1
06;P1;1.9
061;P1;1.0
062;P1;0.7
063;P1;0.1
064;P1;0.0
07;P1;17.0
071;P1;6.4
072;P1;7.5
073;P1;2.0
074;P1;1.1
08;P1;3.6
081;P1;3.6
09;P1;8.0
091;P1;0.7
092;P1;0.1
093;P1;2.0
094;P1;2.6
095;P1;1.2
096;P1;0.8
097;P1;0.6
10;P1;1.8
101;P1;1.8
11;P1;5.6
111;P1;4.7
112;P1;1.0
12;P1;17.7
121;P1;2.5
123;P1;0.5
124;P1;0.4
125;P1;11.4
126;P1;0.7
127;P1;2.0
128;P1;0.1
129;P1;0.1
CTOTALE;P1;100.0
01;P2;20.4
011;P2;18.4
012;P2;1.5
013;P2;0.5
02;P2;3.5
021;P2;1.8
022;P2;1.6
024;P2;0.0
03;P2;4.4
031;P2;3.1
032;P2;1.0
033;P2;0.4
04;P2;10.6
041;P2;0.3
043;P2;0.6
044;P2;2.6
045;P2;7.0
046;P2;0.2
05;P2;5.7
051;P2;1.3
052;P2;0.3
053;P2;1.0
054;P2;0.3
055;P2;1.0
056;P2;1.6
057;P2;0.1
06;P2;2.3
061;P2;1.1
062;P2;1.0
063;P2;0.1
064;P2;0.0
07;P2;16.4
071;P2;7.1
072;P2;7.3
073;P2;1.0
074;P2;1.0
08;P2;3.1
081;P2;3.1
09;P2;8.6
091;P2;0.8
092;P2;0.3
093;P2;1.7
094;P2;2.8
095;P2;1.5
096;P2;0.8
097;P2;0.7
10;P2;0.6
101;P2;0.6
11;P2;5.8
111;P2;4.9
112;P2;0.9
12;P2;18.6
121;P2;2.9
123;P2;0.5
124;P2;0.6
125;P2;11.5
126;P2;0.7
127;P2;2.3
128;P2;0.1
