NOMENCLATURE;CSPR;CONSO
0131;2;224
0131Z;2;224
02;2;1184
021;2;575
0211;2;118
02111;2;118
0212;2;369
0212A;2;369
0213;2;88
02131;2;88
022;2;605
022Z;2;605
022ZZ;2;605
024;2;5
0241;2;5
02411;2;5
03;2;1708
031;2;1144
0311;2;2
03111;2;2
0312;2;1059
0312Z;2;1059
0313;2;69
03131;2;69
0314;2;13
03141;2;13
032;2;387
032Z;2;387
032ZZ;2;387
033;2;177
0331;2;177
0331Z;2;177
04;2;4844
041;2;2102
0411;2;2056
04111;2;2056
0412;2;46
04121;2;46
043;2;141
0431;2;141
0431Z;2;141
044;2;810
0443;2;341
04431;2;341
0444;2;468
04441;2;468
045;2;1656
0450;2;217
04500;2;217
0451;2;952
04511;2;952
0452;2;268
0452Z;2;268
0453;2;152
0453Z;2;152
045A;2;66
045AZ;2;66
046;2;136
0461;2;136
04611;2;136
05;2;1890
051;2;567
0511;2;549
0511Z;2;549
051A;2;18
051AZ;2;18
052;2;76
0521;2;76
0521Z;2;76
053;2;253
0531;2;219
0531Z;2;219
0532;2;34
05321;2;34
054;2;99
0541;2;99
0541Z;2;99
055;2;194
0551;2;117
0551Z;2;117
0552;2;77
0552Z;2;77
056;2;602
0561;2;283
0561Z;2;283
0562;2;319
0562Z;2;319
057;2;99
0571;2;99
0571Z;2;99
06;2;546
061;2;245
0611;2;245
0611Z;2;245
062;2;272
0621;2;110
06211;2;110
0622;2;62
06221;2;62
0623;2;100
0623Z;2;100
063;2;15
0631;2;15
06311;2;15
064;2;13
0641;2;13
0641Z;2;13
07;2;6742
071;2;3635
0711;2;3523
0711Z;2;3523
0712;2;74
07121;2;74
0713;2;38
07131;2;38
072;2;1869
0721;2;77
07211;2;77
0722;2;1301
07221;2;1301
0723;2;306
07231;2;306
0724;2;185
0724Z;2;185
073;2;749
0736;2;22
07361;2;22
073Z;2;727
073ZZ;2;727
074;2;489
0741;2;489
0741Z;2;489
08;2;875
081;2;875
0811;2;20
08111;2;20
0812;2;86
08121;2;86
0813;2;769
08131;2;769
09;2;3323
091;2;255
0911;2;94
0911Z;2;94
0913;2;90
09131;2;90
0914;2;57
09141;2;57
091A;2;14
091AZ;2;14
092;2;76
092Z;2;76
092ZZ;2;76
093;2;522
0931;2;175
0931Z;2;175
0932;2;147
09321;2;147
093A;2;200
093AZ;2;200
094;2;1053
0941;2;450
09411;2;450
0942;2;582
0942Z;2;582
0943;2;22
09431;2;22
095;2;406
0951;2;163
09511;2;163
0952;2;105
09521;2;105
0953;2;7
09531;2;7
0954;2;131
09541;2;131
096;2;693
0961;2;693
09611;2;693
097;2;318
0971;2;318
0971Z;2;318
10;2;432
101;2;432
1011;2;39
10111;2;39
1012;2;76
10121;2;76
1013;2;228
10131;2;228
1014;2;40
10141;2;40
1015;2;49
1015Z;2;49
11;2;3195
111;2;2634
1111;2;1714
11111;2;1087
11112;2;627
1112;2;544
11121;2;544
1113;2;375
1113Z;2;375
112;2;562
1121;2;562
