NOMENCLATURE;STATUT;CONSO
0213;P;66
02131;P;66
022;P;333
022Z;P;333
022ZZ;P;333
024;P;4
0241;P;4
02411;P;4
03;P;1445
031;P;989
0311;P;5
03111;P;5
0312;P;917
0312Z;P;917
0313;P;50
03131;P;50
0314;P;17
03141;P;17
032;P;307
032Z;P;307
032ZZ;P;307
033;P;149
0331;P;149
0331Z;P;149
04;P;2813
041;P;83
0411;P;14
04111;P;14
0412;P;69
04121;P;69
043;P;256
0431;P;256
0431Z;P;256
044;P;741
0443;P;323
04431;P;323
0444;P;418
04441;P;418
045;P;1637
0450;P;205
04500;P;205
0451;P;871
04511;P;871
0452;P;297
0452Z;P;297
0453;P;181
0453Z;P;181
045A;P;83
045AZ;P;83
046;P;96
0461;P;96
04611;P;96
05;P;1998
051;P;524
0511;P;508
0511Z;P;508
051A;P;16
051AZ;P;16
052;P;112
0521;P;112
0521Z;P;112
053;P;232
0531;P;203
0531Z;P;203
0532;P;29
05321;P;29
054;P;93
0541;P;93
0541Z;P;93
055;P;293
0551;P;111
0551Z;P;111
0552;P;182
0552Z;P;182
056;P;686
0561;P;268
0561Z;P;268
0562;P;417
0562Z;P;417
057;P;59
0571;P;59
0571Z;P;59
06;P;580
061;P;298
0611;P;298
0611Z;P;298
062;P;248
0621;P;119
06211;P;119
0622;P;70
06221;P;70
0623;P;59
0623Z;P;59
063;P;27
0631;P;27
06311;P;27
064;P;7
0641;P;7
0641Z;P;7
07;P;5323
071;P;2456
0711;P;2330
0711Z;P;2330
0712;P;79
07121;P;79
0713;P;47
07131;P;47
072;P;1952
0721;P;160
07211;P;160
0722;P;1305
07221;P;1305
0723;P;343
07231;P;343
0724;P;144
0724Z;P;144
073;P;498
0736;P;14
07361;P;14
073Z;P;484
073ZZ;P;484
074;P;418
0741;P;418
0741Z;P;418
08;P;763
081;P;763
0811;P;25
08111;P;25
0812;P;83
08121;P;83
0813;P;654
08131;P;654
09;P;3002
091;P;261
0911;P;95
0911Z;P;95
0913;P;95
09131;P;95
0914;P;48
09141;P;48
091A;P;24
091AZ;P;24
092;P;127
092Z;P;127
092ZZ;P;127
093;P;552
0931;P;161
0931Z;P;161
0932;P;198
09321;P;198
093A;P;193
093AZ;P;193
094;P;907
0941;P;359
09411;P;359
0942;P;509
0942Z;P;509
0943;P;38
09431;P;38
095;P;384
0951;P;128
09511;P;128
0952;P;150
09521;P;150
0953;P;17
09531;P;17
0954;P;89
09541;P;89
096;P;494
0961;P;494
09611;P;494
097;P;278
0971;P;278
0971Z;P;278
10;P;243
101;P;243
1011;P;26
10111;P;26
1012;P;30
10121;P;30
1013;P;128
10131;P;128
1014;P;27
10141;P;27
1015;P;33
1015Z;P;33
11;P;2232
111;P;1823
1111;P;1112
11111;P;669
11112;P;443
1112;P;405
11121;P;405
1113;P;307
1113Z;P;307
112;P;408
1121;P;408
11211;P;408
12;P;5253
121;P;857
1211;P;396
12111;P;396
1212;P;462
1212Z;P;462
123;P;196
1231;P;66
12311;P;66
1232;P;82
1232Z;P;82
1233;P;49
12331;P;49
124;P;365
1241;P;365
12411;P;365
125;P;2796
1251;P;45
12511;P;45
1252;P;439
12521;P;439
1253;P;1326
12531;P;1326
1254;P;801
12541;P;801
1255;P;186
12551;P;186
126;P;161
1261;P;161
12611;P;161
127;P;815
1271;P;815
1271Z;P;815
128;P;32
1281;P;32
12811;P;32
129;P;31
1291;P;31
12911;P;31
13;P;13537
131;P;4656
1314;P;2886
13141;P;2886
1315;P;20
13151;P;20
1316;P;59
13161;P;59
131A;P;1691
131AZ;P;1691
132;P;4301
132Z;P;4301
132ZZ;P;4301
133;P;1062
1331;P;1062
13311;P;1062
134;P;2380
134Z;P;2380
134ZZ;P;2380
135;P;1138
1351;P;1138
13511;P;1138
CTOTALE;P;29579
01;L1;2850
011;L1;2511
0111;L1;562
01111;L1;29
01112;L1;329
01113;L1;48
01114;L1;113
01115;L1;43
0112;L1;605
01121;L1;157
01122;L1;41
01123;L1;37
01124;L1;111
01125;L1;179
01126;L1;75
01127;L1;6
0113;L1;133
01130;L1;44
01131;L1;8
01132;L1;21
01133;L1;8
01134;L1;51
0114;L1;373
01145;L1;161
01147;L1;32
0114A;L1;65
0114B;L1;115
0115;L1;63
01151;L1;23
0115A;L1;30
0115B;L1;9
0116;L1;194
01161;L1;31
01162;L1;24
01168;L1;34
01169;L1;2
0116A;L1;103
0117;L1;310
01175;L1;7
01176;L1;6
01177;L1;39
01178;L1;20
01179;L1;72
0117A;L1;165
0118;L1;164
01181;L1;13
0118A;L1;151
0119;L1;108
0119Z;L1;108
012;L1;248
0121;L1;68
01213;L1;6
0121A;L1;62
0122;L1;180
01221;L1;37
01222;L1;56
0122A;L1;87
013;L1;91
0131;L1;91
0131Z;L1;91
02;L1;566
021;L1;160
0211;L1;49
02111;L1;49
0212;L1;61
0212A;L1;61
0213;L1;50
02131;L1;50
022;L1;406
022Z;L1;406
022ZZ;L1;406
024;L1;0
0241;L1;0
02411;L1;0
03;L1;990
031;L1;707
0311;L1;1
03111;L1;1
0312;L1;674
0312Z;L1;674
0313;L1;20
03131;L1;20
0314;L1;12
03141;L1;12
032;L1;224
032Z;L1;224
032ZZ;L1;224
033;L1;59
0331;L1;59
0331Z;L1;59
04;L1;4841
041;L1;3023
0411;L1;3000
04111;L1;3000
0412;L1;23
04121;L1;23
043;L1;38
0431;L1;38
0431Z;L1;38
044;L1;912
0443;L1;153
04431;L1;153
0444;L1;759
04441;L1;759
045;L1;858
0450;L1;127
04500;L1;127
0451;L1;521
04511;L1;521
0452;L1;174
0452Z;L1;174
0453;L1;26
0453Z;L1;26
045A;L1;9
045AZ;L1;9
046;L1;10
0461;L1;10
04611;L1;10
05;L1;537
051;L1;150
0511;L1;149
0511Z;L1;149
051A;L1;1
051AZ;L1;1
052;L1;31
0521;L1;31
0521Z;L1;31
053;L1;90
0531;L1;79
0531Z;L1;79
0532;L1;11
05321;L1;11
054;L1;31
0541;L1;31
0541Z;L1;31
055;L1;40
0551;L1;9
0551Z;L1;9
0552;L1;31
0552Z;L1;31
056;L1;183
0561;L1;167
0561Z;L1;167
0562;L1;17
0562Z;L1;17
057;L1;12
0571;L1;12
0571Z;L1;12
06;L1;256
061;L1;146
0611;L1;146
0611Z;L1;146
062;L1;96
0621;L1;40
06211;L1;40
0622;L1;27
06221;L1;27
0623;L1;29
0623Z;L1;29
063;L1;9
0631;L1;9
06311;L1;9
064;L1;5
0641;L1;5
0641Z;L1;5
07;L1;1882
071;L1;472
0711;L1;449
0711Z;L1;449
0712;L1;13
07121;L1;13
0713;L1;11
07131;L1;11
072;L1;814
0721;L1;67
07211;L1;67
0722;L1;514
07221;L1;514
0723;L1;144
07231;L1;144
0724;L1;88
0724Z;L1;88
073;L1;435
0736;L1;8
07361;L1;8
073Z;L1;426
073ZZ;L1;426
074;L1;161
0741;L1;161
0741Z;L1;161
08;L1;650
081;L1;650
0811;L1;14
08111;L1;14
0812;L1;79
08121;L1;79
0813;L1;558
08131;L1;558
09;L1;1104
091;L1;181
0911;L1;65
0911Z;L1;65
0913;L1;67
09131;L1;67
0914;L1;30
09141;L1;30
091A;L1;19
091AZ;L1;19
092;L1;4
092Z;L1;4
092ZZ;L1;4
093;L1;256
0931;L1;132
0931Z;L1;132
0932;L1;44
09321;L1;44
093A;L1;80
093AZ;L1;80
094;L1;406
0941;L1;105
09411;L1;105
0942;L1;276
0942Z;L1;276
0943;L1;25
09431;L1;25
095;L1;130
0951;L1;72
09511;L1;72
0952;L1;25
09521;L1;25
0953;L1;3
09531;L1;3
0954;L1;30
09541;L1;30
096;L1;54
0961;L1;54
09611;L1;54
097;L1;73
0971;L1;73
0971Z;L1;73
10;L1;226
101;L1;226
1011;L1;17
10111;L1;17
1012;L1;16
10121;L1;16
1013;L1;164
10131;L1;164
1014;L1;29
10141;L1;29
1015;L1;1
1015Z;L1;1
11;L1;810
111;L1;729
1111;L1;424
11111;L1;148
11112;L1;276
1112;L1;241
11121;L1;241
1113;L1;64
1113Z;L1;64
112;L1;81
1121;L1;81
11211;L1;81
12;L1;1829
121;L1;404
1211;L1;159
12111;L1;159
1212;L1;245
1212Z;L1;245
123;L1;79
1231;L1;24
12311;L1;24
1232;L1;37
1232Z;L1;37
1233;L1;18
12331;L1;18
124;L1;62
1241;L1;62
12411;L1;62
125;L1;1053
1251;L1;21
12511;L1;21
1252;L1;227
12521;L1;227
1253;L1;438
12531;L1;438
1254;L1;311
12541;L1;311
1255;L1;57
12551;L1;57
126;L1;107
1261;L1;107
12611;L1;107
127;L1;113
1271;L1;113
1271Z;L1;113
128;L1;8
1281;L1;8
12811;L1;8
129;L1;3
1291;L1;3
12911;L1;3
13;L1;1042
131;L1;253
1314;L1;48
13141;L1;48
1315;L1;21
13151;L1;21
1316;L1;20
13161;L1;20
131A;L1;164
131AZ;L1;164
132;L1;44
132Z;L1;44
132ZZ;L1;44
133;L1;267
1331;L1;267
13311;L1;267
134;L1;60
134Z;L1;60
134ZZ;L1;60
135;L1;418
1351;L1;418
13511;L1;418
CTOTALE;L1;16542
01;L2;3197
011;L2;2809
0111;L2;616
01111;L2;25
01112;L2;374
01113;L2;50
01114;L2;119
01115;L2;50
0112;L2;691
01121;L2;178
01122;L2;47
01123;L2;30
01124;L2;118
01125;L2;233
01126;L2;80
01127;L2;5
0113;L2;161
01130;L2;59
01131;L2;12
01132;L2;31
01133;L2;12
01134;L2;47
0114;L2;410
01145;L2;176
01147;L2;34
0114A;L2;66
0114B;L2;134
0115;L2;64
01151;L2;31
0115A;L2;25
0115B;L2;9
0116;L2;238
01161;L2;37
01162;L2;26
01168;L2;29
01169;L2;5
0116A;L2;142
0117;L2;327
01175;L2;5
01176;L2;11
01177;L2;37
01178;L2;26
01179;L2;71
0117A;L2;177
0118;L2;180
01181;L2;12
0118A;L2;168
0119;L2;122
0119Z;L2;122
012;L2;288
0121;L2;94
01213;L2;4
0121A;L2;90
0122;L2;194
01221;L2;51
01222;L2;50
0122A;L2;93
013;L2;101
0131;L2;101
0131Z;L2;101
02;L2;717
021;L2;227
0211;L2;86
02111;L2;86
0212;L2;93
0212A;L2;93
0213;L2;48
02131;L2;48
022;L2;486
022Z;L2;486
022ZZ;L2;486
024;L2;4
0241;L2;4
02411;L2;4
03;L2;1108
031;L2;789
0311;L2;1
03111;L2;1
0312;L2;758
0312Z;L2;758
0313;L2;28
03131;L2;28
0314;L2;2
03141;L2;2
032;L2;238
032Z;L2;238
032ZZ;L2;238
033;L2;81
0331;L2;81
0331Z;L2;81
04;L2;6393
041;L2;4409
0411;L2;4401
04111;L2;4401
0412;L2;8
04121;L2;8
043;L2;28
0431;L2;28
0431Z;L2;28
044;L2;973
0443;L2;164
04431;L2;164
0444;L2;810
04441;L2;810
045;L2;952
0450;L2;146
04500;L2;146
0451;L2;546
04511;L2;546
0452;L2;216
0452Z;L2;216
0453;L2;30
0453Z;L2;30
045A;L2;14
045AZ;L2;14
046;L2;31
0461;L2;31
04611;L2;31
05;L2;779
051;L2;229
0511;L2;218
0511Z;L2;218
051A;L2;11
051AZ;L2;11
052;L2;39
0521;L2;39
0521Z;L2;39
053;L2;133
0531;L2;120
0531Z;L2;120
0532;L2;13
05321;L2;13
054;L2;62
0541;L2;62
0541Z;L2;62
055;L2;55
0551;L2;19
0551Z;L2;19
0552;L2;36
0552Z;L2;36
056;L2;239
0561;L2;186
0561Z;L2;186
0562;L2;53
0562Z;L2;53
057;L2;23
0571;L2;23
0571Z;L2;23
06;L2;308
061;L2;146
0611;L2;146
0611Z;L2;146
062;L2;139
0621;L2;66
06211;L2;66
0622;L2;31
06221;L2;31
0623;L2;42
0623Z;L2;42
063;L2;20
0631;L2;20
06311;L2;20
064;L2;3
0641;L2;3
0641Z;L2;3
07;L2;2651
071;L2;934
0711;L2;839
0711Z;L2;839
0712;L2;75
07121;L2;75
0713;L2;20
07131;L2;20
072;L2;1166
0721;L2;93
07211;L2;93
0722;L2;756
07221;L2;756
0723;L2;222
07231;L2;222
0724;L2;95
0724Z;L2;95
073;L2;368
0736;L2;11
07361;L2;11
073Z;L2;357
073ZZ;L2;357
074;L2;184
0741;L2;184
0741Z;L2;184
08;L2;678
081;L2;678
0811;L2;16
08111;L2;16
0812;L2;75
08121;L2;75
0813;L2;587
08131;L2;587
09;L2;1393
091;L2;167
0911;L2;53
0911Z;L2;53
0913;L2;61
09131;L2;61
0914;L2;38
09141;L2;38
091A;L2;14
091AZ;L2;14
092;L2;1
092Z;L2;1
092ZZ;L2;1
093;L2;322
0931;L2;160
0931Z;L2;160
0932;L2;50
09321;L2;50
093A;L2;112
093AZ;L2;112
094;L2;531
0941;L2;140
09411;L2;140
0942;L2;360
0942Z;L2;360
0943;L2;31
09431;L2;31
095;L2;163
0951;L2;66
09511;L2;66
0952;L2;56
09521;L2;56
0953;L2;3
09531;L2;3
0954;L2;39
09541;L2;39
096;L2;98
0961;L2;98
09611;L2;98
097;L2;112
0971;L2;112
0971Z;L2;112
10;L2;126
101;L2;126
1011;L2;10
10111;L2;10
1012;L2;12
10121;L2;12
1013;L2;63
10131;L2;63
1014;L2;10
10141;L2;10
1015;L2;31
1015Z;L2;31
11;L2;1128
111;L2;956
1111;L2;615
11111;L2;273
11112;L2;341
1112;L2;235
11121;L2;235
1113;L2;106
1113Z;L2;106
112;L2;173
1121;L2;173
11211;L2;173
12;L2;2647
121;L2;508
1211;L2;203
12111;L2;203
1212;L2;306
1212Z;L2;306
123;L2;101
1231;L2;21
12311;L2;21
1232;L2;44
1232Z;L2;44
1233;L2;35
12331;L2;35
124;L2;160
1241;L2;160
12411;L2;160
125;L2;1617
1251;L2;32
12511;L2;32
1252;L2;267
12521;L2;267
1253;L2;773
12531;L2;773
1254;L2;474
12541;L2;474
1255;L2;70
12551;L2;70
126;L2;123
1261;L2;123
12611;L2;123
127;L2;128
1271;L2;128
1271Z;L2;128
128;L2;7
1281;L2;7
12811;L2;7
129;L2;4
1291;L2;4
12911;L2;4
13;L2;1957
131;L2;584
1314;L2;212
13141;L2;212
1315;L2;45
13151;L2;45
1316;L2;39
13161;L2;39
131A;L2;288
131AZ;L2;288
132;L2;48
132Z;L2;48
132ZZ;L2;48
133;L2;411
1331;L2;411
13311;L2;411
134;L2;154
134Z;L2;154
134ZZ;L2;154
135;L2;759
1351;L2;759
13511;L2;759
CTOTALE;L2;21125
01;L3;3373
011;L3;2950
0111;L3;662
01111;L3;35
01112;L3;395
01113;L3;53
01114;L3;139
01115;L3;40
0112;L3;730
01121;L3;184
01122;L3;46
01123;L3;28
01124;L3;130
01125;L3;237
01126;L3;97
01127;L3;8
0113;L3;188
01130;L3;52
01131;L3;18
01132;L3;41
01133;L3;16
01134;L3;61
0114;L3;421
01145;L3;187
01147;L3;32
0114A;L3;53
0114B;L3;148
0115;L3;67
01151;L3;27
0115A;L3;27
0115B;L3;13
0116;L3;215
01161;L3;42
01162;L3;19
01168;L3;27
01169;L3;4
0116A;L3;122
0117;L3;348
01175;L3;4
01176;L3;12
01177;L3;40
01178;L3;40
01179;L3;67
0117A;L3;185
0118;L3;194
01181;L3;10
0118A;L3;184
0119;L3;126
0119Z;L3;126
012;L3;299
0121;L3;107
01213;L3;4
0121A;L3;103
0122;L3;192
01221;L3;52
01222;L3;54
0122A;L3;86
013;L3;124
0131;L3;124
0131Z;L3;124
02;L3;960
021;L3;317
0211;L3;108
02111;L3;108
0212;L3;136
0212A;L3;136
0213;L3;73
02131;L3;73
022;L3;637
022Z;L3;637
022ZZ;L3;637
024;L3;7
0241;L3;7
02411;L3;7
03;L3;1231
031;L3;886
0311;L3;2
03111;L3;2
0312;L3;836
0312Z;L3;836
0313;L3;32
03131;L3;32
0314;L3;17
03141;L3;17
032;L3;247
032Z;L3;247
032ZZ;L3;247
033;L3;98
0331;L3;98
0331Z;L3;98
04;L3;7623
041;L3;5651
0411;L3;5648
04111;L3;5648
0412;L3;3
04121;L3;3
043;L3;63
0431;L3;63
0431Z;L3;63
044;L3;968
0443;L3;160
04431;L3;160
0444;L3;808
04441;L3;808
045;L3;917
0450;L3;127
04500;L3;127
0451;L3;567
04511;L3;567
0452;L3;185
0452Z;L3;185
0453;L3;28
0453Z;L3;28
045A;L3;9
045AZ;L3;9
046;L3;23
0461;L3;23
04611;L3;23
05;L3;910
051;L3;265
0511;L3;260
0511Z;L3;260
051A;L3;5
051AZ;L3;5
052;L3;51
0521;L3;51
0521Z;L3;51
053;L3;172
0531;L3;151
0531Z;L3;151
0532;L3;21
05321;L3;21
054;L3;65
0541;L3;65
0541Z;L3;65
055;L3;85
0551;L3;18
0551Z;L3;18
0552;L3;67
0552Z;L3;67
056;L3;244
0561;L3;183
0561Z;L3;183
0562;L3;60
0562Z;L3;60
057;L3;29
0571;L3;29
0571Z;L3;29
06;L3;423
061;L3;197
0611;L3;197
0611Z;L3;197
062;L3;201
0621;L3;87
06211;L3;87
0622;L3;65
06221;L3;65
0623;L3;49
0623Z;L3;49
063;L3;21
0631;L3;21
06311;L3;21
064;L3;4
0641;L3;4
0641Z;L3;4
07;L3;3461
071;L3;1136
0711;L3;1020
0711Z;L3;1020
0712;L3;98
07121;L3;98
0713;L3;18
07131;L3;18
072;L3;1577
0721;L3;150
07211;L3;150
0722;L3;1040
07221;L3;1040
0723;L3;263
07231;L3;263
0724;L3;123
0724Z;L3;123
073;L3;484
0736;L3;13
07361;L3;13
073Z;L3;471
073ZZ;L3;471
074;L3;264
0741;L3;264
0741Z;L3;264
08;L3;741
081;L3;741
0811;L3;18
08111;L3;18
0812;L3;88
08121;L3;88
0813;L3;635
08131;L3;635
09;L3;1886
091;L3;211
0911;L3;51
0911Z;L3;51
0913;L3;76
09131;L3;76
0914;L3;58
09141;L3;58
091A;L3;26
091AZ;L3;26
092;L3;24
092Z;L3;24
092ZZ;L3;24
093;L3;423
0931;L3;235
0931Z;L3;235
0932;L3;72
09321;L3;72
093A;L3;116
093AZ;L3;116
094;L3;667
0941;L3;196
09411;L3;196
0942;L3;419
0942Z;L3;419
0943;L3;52
09431;L3;52
095;L3;229
0951;L3;93
09511;L3;93
0952;L3;77
09521;L3;77
0953;L3;9
09531;L3;9
0954;L3;50
09541;L3;50
096;L3;178
0961;L3;178
09611;L3;178
097;L3;154
0971;L3;154
0971Z;L3;154
10;L3;101
101;L3;101
1011;L3;13
10111;L3;13
1012;L3;15
10121;L3;15
1013;L3;58
10131;L3;58
1014;L3;9
10141;L3;9
1015;L3;6
1015Z;L3;6
11;L3;1566
111;L3;1408
1111;L3;943
11111;L3;420
11112;L3;523
1112;L3;283
11121;L3;283
1113;L3;183
1113Z;L3;183
112;L3;158
1121;L3;158
11211;L3;158
12;L3;3365
121;L3;675
1211;L3;274
12111;L3;274
1212;L3;401
1212Z;L3;401
123;L3;126
1231;L3;39
12311;L3;39
1232;L3;41
1232Z;L3;41
1233;L3;47
12331;L3;47
124;L3;236
1241;L3;236
12411;L3;236
125;L3;1879
1251;L3;33
12511;L3;33
1252;L3;286
12521;L3;286
1253;L3;889
12531;L3;889
1254;L3;572
12541;L3;572
1255;L3;99
12551;L3;99
126;L3;142
1261;L3;142
12611;L3;142
127;L3;290
1271;L3;290
1271Z;L3;290
128;L3;14
1281;L3;14
12811;L3;14
129;L3;3
1291;L3;3
12911;L3;3
13;L3;3160
131;L3;1143
1314;L3;664
13141;L3;664
1315;L3;4
13151;L3;4
1316;L3;22
13161;L3;22
131A;L3;453
131AZ;L3;453
132;L3;63
132Z;L3;63
132ZZ;L3;63
133;L3;561
1331;L3;561
13311;L3;561
134;L3;381
134Z;L3;381
134ZZ;L3;381
135;L3;1013
1351;L3;1013
13511;L3;1013
CTOTALE;L3;25639
01;L4;3820
011;L4;3360
0111;L4;731
01111;L4;34
01112;L4;417
01113;L4;74
01114;L4;148
01115;L4;58
0112;L4;763
01121;L4;185
01122;L4;54
01123;L4;20
01124;L4;135
01125;L4;243
01126;L4;119
01127;L4;7
0113;L4;228
01130;L4;76
01131;L4;21
01132;L4;38
01133;L4;23
01134;L4;71
0114;L4;492
01145;L4;231
01147;L4;43
0114A;L4;52
0114B;L4;166
0115;L4;66
01151;L4;34
0115A;L4;24
0115B;L4;8
0116;L4;299
01161;L4;49
01162;L4;24
01168;L4;45
01169;L4;10
0116A;L4;170
0117;L4;400
01175;L4;8
01176;L4;9
01177;L4;50
01178;L4;43
01179;L4;64
0117A;L4;226
0118;L4;226
01181;L4;11
0118A;L4;215
0119;L4;156
0119Z;L4;156
012;L4;297
0121;L4;87
01213;L4;4
0121A;L4;83
0122;L4;210
01221;L4;59
01222;L4;45
0122A;L4;106
013;L4;162
0131;L4;162
0131Z;L4;162
02;L4;813
021;L4;315
0211;L4;108
02111;L4;108
0212;L4;150
0212A;L4;150
0213;L4;56
02131;L4;56
022;L4;489
022Z;L4;489
022ZZ;L4;489
024;L4;8
0241;L4;8
02411;L4;8
03;L4;1453
031;L4;1037
0311;L4;16
03111;L4;16
0312;L4;973
0312Z;L4;973
0313;L4;30
03131;L4;30
0314;L4;17
03141;L4;17
032;L4;279
032Z;L4;279
032ZZ;L4;279
033;L4;136
0331;L4;136
0331Z;L4;136
04;L4;8535
041;L4;6485
0411;L4;6473
04111;L4;6473
0412;L4;12
04121;L4;12
043;L4;88
0431;L4;88
0431Z;L4;88
044;L4;1022
0443;L4;140
04431;L4;140
0444;L4;882
04441;L4;882
045;L4;912
0450;L4;134
04500;L4;134
0451;L4;578
04511;L4;578
0452;L4;161
0452Z;L4;161
0453;L4;29
0453Z;L4;29
045A;L4;9
045AZ;L4;9
046;L4;29
0461;L4;29
04611;L4;29
05;L4;1225
051;L4;405
0511;L4;371
0511Z;L4;371
051A;L4;35
051AZ;L4;35
052;L4;61
0521;L4;61
0521Z;L4;61
053;L4;182
0531;L4;143
0531Z;L4;143
0532;L4;39
05321;L4;39
054;L4;95
0541;L4;95
0541Z;L4;95
055;L4;156
0551;L4;23
0551Z;L4;23
0552;L4;133
0552Z;L4;133
056;L4;295
0561;L4;219
0561Z;L4;219
0562;L4;76
0562Z;L4;76
057;L4;31
0571;L4;31
0571Z;L4;31
06;L4;562
061;L4;216
0611;L4;216
0611Z;L4;216
062;L4;280
0621;L4;129
06211;L4;129
0622;L4;87
06221;L4;87
0623;L4;64
0623Z;L4;64
063;L4;44
0631;L4;44
06311;L4;44
064;L4;22
0641;L4;22
0641Z;L4;22
07;L4;4226
071;L4;1438
0711;L4;1330
0711Z;L4;1330
0712;L4;84
07121;L4;84
0713;L4;23
07131;L4;23
072;L4;1591
0721;L4;69
07211;L4;69
0722;L4;1067
07221;L4;1067
0723;L4;302
07231;L4;302
0724;L4;153
0724Z;L4;153
073;L4;794
0736;L4;20
07361;L4;20
073Z;L4;773
073ZZ;L4;773
074;L4;403
0741;L4;403
0741Z;L4;403
08;L4;776
081;L4;776
0811;L4;19
08111;L4;19
0812;L4;123
08121;L4;123
0813;L4;634
08131;L4;634
09;L4;2965
091;L4;446
0911;L4;244
0911Z;L4;244
0913;L4;99
09131;L4;99
0914;L4;62
09141;L4;62
091A;L4;42
091AZ;L4;42
092;L4;231
092Z;L4;231
092ZZ;L4;231
093;L4;463
0931;L4;194
0931Z;L4;194
0932;L4;85
09321;L4;85
093A;L4;184
093AZ;L4;184
094;L4;953
0941;L4;361
09411;L4;361
0942;L4;543
0942Z;L4;543
0943;L4;49
09431;L4;49
095;L4;282
0951;L4;126
09511;L4;126
0952;L4;83
09521;L4;83
0953;L4;9
09531;L4;9
0954;L4;65
09541;L4;65
096;L4;266
0961;L4;266
09611;L4;266
097;L4;323
0971;L4;323
0971Z;L4;323
10;L4;132
101;L4;132
1011;L4;13
10111;L4;13
1012;L4;15
10121;L4;15
1013;L4;74
10131;L4;74
1014;L4;16
10141;L4;16
1015;L4;14
1015Z;L4;14
11;L4;2127
111;L4;1843
1111;L4;1275
11111;L4;616
11112;L4;659
1112;L4;312
11121;L4;312
1113;L4;256
1113Z;L4;256
112;L4;284
1121;L4;284
11211;L4;284
12;L4;4048
121;L4;800
1211;L4;339
12111;L4;339
1212;L4;461
1212Z;L4;461
123;L4;181
1231;L4;50
12311;L4;50
1232;L4;86
1232Z;L4;86
1233;L4;45
12331;L4;45
124;L4;507
1241;L4;507
12411;L4;507
125;L4;1963
1251;L4;33
12511;L4;33
1252;L4;286
12521;L4;286
1253;L4;903
12531;L4;903
1254;L4;646
12541;L4;646
1255;L4;95
12551;L4;95
126;L4;132
1261;L4;132
12611;L4;132
127;L4;402
1271;L4;402
1271Z;L4;402
128;L4;59
1281;L4;59
12811;L4;59
129;L4;4
1291;L4;4
12911;L4;4
13;L4;5131
131;L4;2404
1314;L4;1742
13141;L4;1742
1315;L4;63
13151;L4;63
1316;L4;25
13161;L4;25
131A;L4;574
131AZ;L4;574
132;L4;294
132Z;L4;294
132ZZ;L4;294
133;L4;765
1331;L4;765
13311;L4;765
134;L4;406
134Z;L4;406
134ZZ;L4;406
135;L4;1263
1351;L4;1263
13511;L4;1263
CTOTALE;L4;30681
01;L5;4304
011;L5;3694
0111;L5;815
01111;L5;26
01112;L5;474
01113;L5;84
01114;L5;176
01115;L5;55
0112;L5;778
01121;L5;215
01122;L5;36
01123;L5;19
01124;L5;140
01125;L5;259
01126;L5;104
01127;L5;6
0113;L5;268
01130;L5;99
01131;L5;17
01132;L5;40
01133;L5;35
01134;L5;78
0114;L5;531
01145;L5;279
01147;L5;47
0114A;L5;56
0114B;L5;150
0115;L5;65
01151;L5;29
0115A;L5;31
0115B;L5;5
0116;L5;357
01161;L5;60
01162;L5;26
01168;L5;46
01169;L5;11
0116A;L5;214
0117;L5;476
01175;L5;5
01176;L5;18
01177;L5;48
01178;L5;64
01179;L5;74
0117A;L5;266
0118;L5;249
01181;L5;8
0118A;L5;241
0119;L5;154
0119Z;L5;154
012;L5;381
0121;L5;148
01213;L5;3
0121A;L5;146
0122;L5;232
01221;L5;75
01222;L5;48
0122A;L5;110
013;L5;230
0131;L5;230
0131Z;L5;230
02;L5;990
021;L5;441
0211;L5;74
02111;L5;74
0212;L5;300
0212A;L5;300
0213;L5;66
02131;L5;66
022;L5;544
022Z;L5;544
022ZZ;L5;544
024;L5;6
0241;L5;6
02411;L5;6
03;L5;2300
031;L5;1669
0311;L5;4
03111;L5;4
0312;L5;1560
0312Z;L5;1560
0313;L5;58
03131;L5;58
0314;L5;47
03141;L5;47
032;L5;415
032Z;L5;415
032ZZ;L5;415
033;L5;216
0331;L5;216
0331Z;L5;216
04;L5;11590
041;L5;9253
0411;L5;9222
04111;L5;9222
0412;L5;32
04121;L5;32
043;L5;77
0431;L5;77
0431Z;L5;77
044;L5;1147
0443;L5;124
04431;L5;124
0444;L5;1023
04441;L5;1023
045;L5;1019
0450;L5;168
04500;L5;168
0451;L5;617
04511;L5;617
0452;L5;187
0452Z;L5;187
0453;L5;32
0453Z;L5;32
045A;L5;15
045AZ;L5;15
046;L5;94
0461;L5;94
04611;L5;94
05;L5;1667
051;L5;562
0511;L5;541
0511Z;L5;541
051A;L5;21
051AZ;L5;21
052;L5;71
0521;L5;71
0521Z;L5;71
053;L5;211
0531;L5;171
0531Z;L5;171
0532;L5;40
05321;L5;40
054;L5;82
0541;L5;82
0541Z;L5;82
055;L5;122
0551;L5;33
0551Z;L5;33
0552;L5;90
0552Z;L5;90
056;L5;515
0561;L5;204
0561Z;L5;204
0562;L5;311
0562Z;L5;311
057;L5;103
0571;L5;103
0571Z;L5;103
06;L5;693
061;L5;350
0611;L5;350
0611Z;L5;350
062;L5;258
0621;L5;96
06211;L5;96
0622;L5;68
06221;L5;68
0623;L5;94
0623Z;L5;94
063;L5;41
0631;L5;41
06311;L5;41
064;L5;44
0641;L5;44
0641Z;L5;44
07;L5;6590
071;L5;2818
0711;L5;2677
