NOMENCLATURE;ZEAT;CONSO
0131;1;213
0131Z;1;213
02;1;804
021;1;416
0211;1;85
02111;1;85
0212;1;285
0212A;1;285
0213;1;47
02131;1;47
022;1;386
022Z;1;386
022ZZ;1;386
024;1;2
0241;1;2
02411;1;2
03;1;1574
031;1;1109
0311;1;9
03111;1;9
0312;1;1022
0312Z;1;1022
0313;1;41
03131;1;41
0314;1;37
03141;1;37
032;1;309
032Z;1;309
032ZZ;1;309
033;1;156
0331;1;156
0331Z;1;156
04;1;6181
041;1;3158
0411;1;3126
04111;1;3126
0412;1;32
04121;1;32
043;1;205
0431;1;205
0431Z;1;205
044;1;1538
0443;1;184
04431;1;184
0444;1;1354
04441;1;1354
045;1;1225
0450;1;259
04500;1;259
0451;1;650
04511;1;650
0452;1;270
0452Z;1;270
0453;1;33
0453Z;1;33
045A;1;13
045AZ;1;13
046;1;55
0461;1;55
04611;1;55
05;1;1694
051;1;386
0511;1;374
0511Z;1;374
051A;1;11
051AZ;1;11
052;1;106
0521;1;106
0521Z;1;106
053;1;192
0531;1;170
0531Z;1;170
0532;1;22
05321;1;22
054;1;78
0541;1;78
0541Z;1;78
055;1;157
0551;1;55
0551Z;1;55
0552;1;103
0552Z;1;103
056;1;723
0561;1;231
0561Z;1;231
0562;1;493
0562Z;1;493
057;1;52
0571;1;52
0571Z;1;52
06;1;637
061;1;276
0611;1;276
0611Z;1;276
062;1;306
0621;1;116
06211;1;116
0622;1;80
06221;1;80
0623;1;110
0623Z;1;110
063;1;28
0631;1;28
06311;1;28
064;1;27
0641;1;27
0641Z;1;27
07;1;4496
071;1;1402
0711;1;1320
0711Z;1;1320
0712;1;60
07121;1;60
0713;1;22
07131;1;22
072;1;1221
0721;1;116
07211;1;116
0722;1;740
07221;1;740
0723;1;200
07231;1;200
0724;1;166
0724Z;1;166
073;1;1265
0736;1;13
07361;1;13
073Z;1;1251
073ZZ;1;1251
074;1;608
0741;1;608
0741Z;1;608
08;1;776
081;1;776
0811;1;24
08111;1;24
0812;1;110
08121;1;110
0813;1;642
08131;1;642
09;1;3112
091;1;283
0911;1;77
0911Z;1;77
0913;1;112
09131;1;112
0914;1;60
09141;1;60
091A;1;33
091AZ;1;33
092;1;207
092Z;1;207
092ZZ;1;207
093;1;422
0931;1;173
0931Z;1;173
0932;1;126
09321;1;126
093A;1;122
093AZ;1;122
094;1;1071
0941;1;498
09411;1;498
0942;1;542
0942Z;1;542
0943;1;31
09431;1;31
095;1;342
0951;1;161
09511;1;161
0952;1;104
09521;1;104
0953;1;13
09531;1;13
0954;1;64
09541;1;64
096;1;508
0961;1;508
09611;1;508
097;1;280
0971;1;280
0971Z;1;280
10;1;361
101;1;361
1011;1;36
10111;1;36
1012;1;43
10121;1;43
1013;1;195
10131;1;195
1014;1;39
10141;1;39
1015;1;47
1015Z;1;47
11;1;2925
111;1;2473
1111;1;1576
11111;1;909
11112;1;666
1112;1;528
11121;1;528
1113;1;369
1113Z;1;369
112;1;452
1121;1;452
11211;1;452
12;1;4527
121;1;891
1211;1;382
12111;1;382
1212;1;510
1212Z;1;510
123;1;229
1231;1;93
12311;1;93
1232;1;80
1232Z;1;80
1233;1;56
12331;1;56
124;1;396
1241;1;396
12411;1;396
125;1;2170
1251;1;29
12511;1;29
1252;1;399
12521;1;399
1253;1;1089
12531;1;1089
1254;1;513
12541;1;513
1255;1;140
12551;1;140
126;1;158
1261;1;158
12611;1;158
127;1;648
1271;1;648
1271Z;1;648
128;1;20
1281;1;20
12811;1;20
129;1;15
1291;1;15
12911;1;15
13;1;13240
131;1;5825
1314;1;4312
13141;1;4312
1315;1;32
13151;1;32
1316;1;61
13161;1;61
131A;1;1421
131AZ;1;1421
132;1;3977
132Z;1;3977
132ZZ;1;3977
133;1;1074
1331;1;1074
13311;1;1074
134;1;1402
134Z;1;1402
134ZZ;1;1402
135;1;962
1351;1;962
13511;1;962
CTOTALE;1;31818
01;2;4371
011;2;3858
0111;2;800
01111;2;25
01112;2;515
01113;2;54
01114;2;161
01115;2;46
0112;2;1054
01121;2;263
01122;2;88
01123;2;36
01124;2;169
01125;2;359
01126;2;120
01127;2;19
0113;2;264
01130;2;99
01131;2;15
01132;2;47
01133;2;24
01134;2;79
0114;2;552
01145;2;267
01147;2;45
0114A;2;70
0114B;2;169
0115;2;89
01151;2;45
0115A;2;29
0115B;2;15
0116;2;308
01161;2;60
01162;2;25
01168;2;43
01169;2;9
0116A;2;172
0117;2;395
01175;2;5
01176;2;9
01177;2;51
01178;2;34
01179;2;78
0117A;2;218
0118;2;256
01181;2;16
0118A;2;240
0119;2;140
0119Z;2;140
012;2;338
0121;2;125
01213;2;6
0121A;2;118
0122;2;213
01221;2;68
01222;2;48
0122A;2;97
013;2;175
0131;2;175
0131Z;2;175
02;2;752
021;2;388
0211;2;128
02111;2;128
0212;2;203
0212A;2;203
0213;2;58
02131;2;58
022;2;363
022Z;2;363
022ZZ;2;363
024;2;2
0241;2;2
02411;2;2
03;2;1310
031;2;907
0311;2;3
03111;2;3
0312;2;845
0312Z;2;845
0313;2;49
03131;2;49
0314;2;9
03141;2;9
032;2;293
032Z;2;293
032ZZ;2;293
033;2;111
0331;2;111
0331Z;2;111
04;2;4060
041;2;1643
0411;2;1569
04111;2;1569
0412;2;74
04121;2;74
043;2;189
0431;2;189
0431Z;2;189
044;2;648
0443;2;283
04431;2;283
0444;2;365
04441;2;365
045;2;1507
0450;2;177
04500;2;177
0451;2;795
04511;2;795
0452;2;297
0452Z;2;297
0453;2;161
0453Z;2;161
045A;2;75
045AZ;2;75
046;2;73
0461;2;73
04611;2;73
05;2;1512
051;2;431
0511;2;413
0511Z;2;413
051A;2;18
051AZ;2;18
052;2;70
0521;2;70
0521Z;2;70
053;2;181
0531;2;158
0531Z;2;158
0532;2;23
05321;2;23
054;2;87
0541;2;87
0541Z;2;87
055;2;241
0551;2;69
0551Z;2;69
