AGPR,weight_Group_inflation_2022_03,diffTOT
25-34 years,4.303032570736227,-0.3558197762180493
35-44 years,4.575109028184599,-0.08374331876967744
45-54 years,4.6835329537273385,0.024680606773062053
55-64 years,4.849298727037122,0.19044638008284576
65-74 years,4.86494277236117,0.20609042540689337
75 years or older,4.869047877537726,0.21019553058344975
Less than 25 years,4.119649363679569,-0.5392029832747074
