CSPR,weight_Group_inflation_2022_03,diffTOT
"Craftsmen, traders and business owners",4.614075178997613,-0.04477716795666353
Employees,4.574831023994593,-0.08402132295968379
Executives,4.380298370104866,-0.27855397684941074
Farmers,5.24666968363023,0.5878173366759532
Intermediate professions,4.604105857170656,-0.05474648978362051
Other inactive,4.498868720439729,-0.15998362651454734
Retirees,4.8753445134769,0.21649216652262382
Workers,4.833940592393134,0.17508824543885737
