TYPMEN,weight_Group_inflation_2022_03,diffTOT
Couples with children,4.728538991755642,0.069686644801366
Couples without children,4.7856008993050825,0.12674855235080607
Other households,4.740095224855772,0.08124287790149598
Single-parent families,4.441737480050037,-0.21711486690423953
Single-person households,4.442477929253498,-0.21637441770077803
