STRATE,weight_Group_inflation_2022_03,diffTOT
Large cities,4.376020368498795,-0.2828319784554818
Medium-sized towns,4.7284319333224385,0.06957958636816208
Paris metropolitan area,4.002047882865057,-0.6568044640892197
Rural,5.332021912350597,0.6731695653963206
Small-sized towns,4.988328001872513,0.3294756549182365
