AGPR,inflation_avoided,diffTot
1,2.686397478751526,-0.7258101452581247
2,2.8053579140514167,-0.606849709958234
3,3.1310905455528344,-0.2811170784568162
4,3.3194838429063345,-0.09272378110331614
5,3.64449508884631,0.2322874648366593
6,3.8438427398373807,0.43163511582773006
7,4.389450922524091,0.9772432985144404
