date,inflation
1997-01,0.8525291985048271
1997-02,0.9896495943442141
1997-03,0.8036035924932043
1997-04,0.7088425283072768
1997-05,0.5830279054002524
1997-06,0.6172805691374373
1997-07,0.6943880823499233
1997-08,0.9439682907108775
1997-09,0.7045457761086342
1997-10,0.5304121178184082
1997-11,0.4967588633186165
1997-12,0.5041680595412724
1998-01,0.3262669671890135
1998-02,0.2477760664649713
1998-03,0.22526452728430046
1998-04,0.3467305224429445
1998-05,0.35166821180214963
1998-06,0.4613494943055828
1998-07,0.3393009766496689
1998-08,0.2993698555618954
1998-09,0.31879260601641474
1998-10,0.4620742107809541
1998-11,0.2953007130850389
1998-12,0.3110516382985413
1999-01,0.23650196347942942
1999-02,0.2133047058286992
1999-03,0.3705630251042744
1999-04,0.46824475866652193
1999-05,0.34233324744334237
1999-06,0.27988281051257363
1999-07,0.2511455453719374
1999-08,0.24803890171642598
1999-09,0.2780706761820171
1999-10,0.3293777407317169
1999-11,0.4207606865066997
1999-12,0.6652025606684981
2000-01,0.6780984223541662
2000-02,0.3630220589359759
2000-03,0.4787867397674833
2000-04,0.16543139067410506
2000-05,0.32509692163003956
2000-06,0.4497452563482095
2000-07,0.45487786814798625
2000-08,0.58186654985147
2000-09,0.8168399882087212
2000-10,0.7110157357673657
2000-11,0.8088907855741467
2000-12,0.5279280074565209
2001-01,0.4202441637045931
2001-02,0.5549281650673993
2001-03,0.49851354760516553
2001-04,0.8704681449294102
2001-05,1.0228421803768502
2001-06,1.0233579554631116
2001-07,1.276660122722062
2001-08,1.1584001076888222
2001-09,1.0750869207659128
2001-10,1.2184798795250615
2001-11,1.0849262600463798
2001-12,1.2222158769594311
2002-01,1.64883101868937
2002-02,1.5680252727042294
2002-03,1.6114653183570606
2002-04,1.6086662819945974
2002-05,1.518115909533381
2002-06,1.5010854929953932
2002-07,1.404496452131583
2002-08,1.4574667223877633
2002-09,1.5979674275509919
2002-10,1.5876979068101913
2002-11,1.6803104867181877
2002-12,1.6510417344416597
2003-01,1.4336953739939515
2003-02,1.957858621232425
2003-03,1.887609047347424
2003-04,1.501928334098705
2003-05,1.4376611762271865
2003-06,1.5071404355470863
2003-07,1.4533532783470027
2003-08,1.5415175765891138
2003-09,1.5489205402380315
2003-10,1.6021150453629804
2003-11,1.7203677590307664
2003-12,1.744709156826338
2004-01,1.7116120193990436
2004-02,1.6028237105286416
2004-03,1.568020593345038
2004-04,1.7706982996704106
2004-05,1.9755516545502538
2004-06,1.857428125724569
2004-07,1.846545238572968
2004-08,1.945457080727396
2004-09,1.610007527620608
2004-10,1.571126735198473
2004-11,1.4825185992463132
2004-12,1.5176028623971987
2005-01,1.249818163927822
2005-02,1.1787356590222031
2005-03,1.3590869647715906
2005-04,1.3356933724469608
2005-05,1.3383919177057388
2005-06,1.3385181254534912
2005-07,1.210459376232553
2005-08,1.222522966825227
2005-09,1.4505587991238647
2005-10,1.3032968085611605
2005-11,1.2428177772018043
2005-12,1.2797272190867441
2006-01,1.4242177307487265
2006-02,1.3047947582771737
2006-03,1.2895430536102268
2006-04,1.3519991615996996
2006-05,1.3463282304514208
2006-06,1.2724425221165165
2006-07,1.4361452758910225
2006-08,1.3505417560316595
2006-09,1.0521686352003723
2006-10,1.1055536165168924
2006-11,1.120254374229696
2006-12,1.1663316880236394
2007-01,1.0690829260275732
2007-02,1.0458812144052774
2007-03,0.985787667720891
2007-04,1.106261191666583
2007-05,1.0840933979032013
2007-06,1.2181157020146114
2007-07,1.0672572175997321
2007-08,1.2546433085784905
2007-09,1.4150756243900582
2007-10,1.5258781747797276
2007-11,1.7905314116837125
2007-12,1.9297851260086705
2008-01,2.155832425455656
2008-02,2.178591606034851
2008-03,2.463447762603429
2008-04,2.4206008971758766
2008-05,2.510364737910504
2008-06,2.616476444427944
2008-07,2.6462276876089135
2008-08,2.3413481550967896
2008-09,2.277873646141471
2008-10,2.0786164334092607
2008-11,1.611096658698098
2008-12,1.327237245836507
2009-01,1.126002589562281
2009-02,1.115207877881229
2009-03,0.7899196439263911
2009-04,0.6869888708589303
2009-05,0.5305797679272859
2009-06,0.3708905862678982
2009-07,0.1893944892379109
2009-08,0.4777487269851262
2009-09,0.2835943221888928
2009-10,0.3571189436370718
2009-11,0.47838177849518126
2009-12,0.6373808413156935
2010-01,0.524016206073836
2010-02,0.835470290623303
2010-03,0.9094241583309571
2010-04,0.8672790404310333
2010-05,0.9613389481522416
2010-06,0.9654057078285068
2010-07,1.0830792185465843
2010-08,0.946068959247952
2010-09,0.9591672060070411
2010-10,1.0036818883447645
2010-11,0.9952142395440411
2010-12,1.0939878874157916
2011-01,1.0808789416161946
2011-02,0.7923017797874563
2011-03,1.1871125234416777
2011-04,1.2979325940648427
2011-05,1.26649197998718
2011-06,1.2217455566995903
2011-07,1.0521033444775378
2011-08,1.3125789238128158
2011-09,1.318322550076779
2011-10,1.511939014172886
2011-11,1.6434324847235735
2011-12,1.636032017031738
2012-01,1.5309312738511984
2012-02,1.5293173917248597
2012-03,1.6369456643409328
2012-04,1.4887828757472408
2012-05,1.4259474516279291
2012-06,1.5471116060485166
2012-07,1.49729890298595
2012-08,1.4121437674342272
2012-09,1.2954736455344174
2012-10,1.1756201618781639
2012-11,0.9554830096653214
2012-12,1.0003480815911845
2013-01,0.9069624151804061
2013-02,0.8056634462493674
2013-03,0.803704387260316
2013-04,0.5959520551103082
2013-05,0.7478234310858783
2013-06,0.7023610703880214
2013-07,0.7795416868625049
2013-08,0.735442701184144
2013-09,0.9707267682569654
2013-10,0.8226463964178137
