IDENT_MEN
7
103
412
442
572
577
627
733
757
820
934
1085
1123
1164
1181
1191
1287
1291
1464
1754
1849
1918
2002
2025
2052
2082
2215
2266
2346
2432
2452
2491
2539
2573
2922
2986
3145
3159
3242
3331
3478
3511
3617
3776
3788
3854
3871
3939
4042
4071
4091
4276
4537
4610
4702
4752
4809
4971
5107
5173
5185
5188
5398
5510
5591
5654
5745
5794
5804
5878
5896
5965
5982
6041
6071
6179
6278
6326
6384
6409
6461
6669
7051
7115
7238
7341
7411
7485
7631
7837
8205
8335
8384
8437
8573
8574
8909
8958
9156
9176
9200
9682
9857
9887
10202
10267
10299
10390
10457
10640
10678
10831
11006
11310
11367
11375
11449
11562
11580
11647
11801
11874
11898
11966
11986
12047
12209
12224
12331
12435
12638
12671
12675
12681
12698
12735
12969
13225
13326
13476
13594
13648
13669
13779
13865
14436
14483
14499
14542
14610
15102
15291
15375
15392
15477
15586
15647
15702
16192
16300
16361
16447
16507
16642
16714
16785
16861
16953
